;Video_Name;Video_Clip_Name;Subtitle;Split;Signer_ID
0;Video_1;video_1_0;hello .;train;1
1;Video_1;video_1_1;look .;train;1
2;Video_1;video_1_2;look .;train;1
3;Video_1;video_1_3;i am sally .;train;1
4;Video_1;video_1_4;i am possum .;test;2
5;Video_1;video_1_5;hello .;train;1
6;Video_1;video_1_6;hello .;train;1
7;Video_1;video_1_7;hold on .;train;1
8;Video_1;video_1_8;my fingers were stuck together .;train;1
9;Video_1;video_1_9;i could not say hello properly .;train;1
10;Video_1;video_1_10;now they are nice and clean hello everyone .;train;1
11;Video_1;video_1_11;i am making some glue it is very sticky .;train;1
12;Video_1;video_1_12;i am making this glue because i want to make a paper ball and i am going to use the glue to stick the paper together .;train;1
13;Video_1;video_1_13;i am sure possum would love to help make this ball .;train;1
14;Video_1;video_1_14;i wonder if he is awake .;train;1
15;Video_1;video_1_15;i will go and see .;dev;1
16;Video_1;video_1_16;come on let us have a look .;train;1
17;Video_1;video_1_17;where is possum .;train;1
18;Video_1;video_1_18;sally my door was so hard to open i do not know why .;train;2
19;Video_1;video_1_19;was it stuck possum .;train;1
20;Video_1;video_1_20;sally what does stuck mean .;train;2
21;Video_1;video_1_21;it is like your door was so hard to open it was sticking .;train;1
22;Video_1;video_1_22;like this morning when i was making glue my fingers were sticking together .;train;1
23;Video_1;video_1_23;i could not open them because they were all sticky .;train;1
24;Video_1;video_1_24;that was because of the sticky glue .;train;1
25;Video_1;video_1_25;did you get glue on your door possum .;train;1
26;Video_1;video_1_26;i remember .;train;2
27;Video_1;video_1_27;last night i got into my comfy bed i got a jar of honey and i was eating it and i got it all over me and all over the tree house .;train;2
28;Video_1;video_1_28;possum did you have a jar of honey and did not give me any .;train;1
29;Video_1;video_1_29;you know i love sticky honey .;train;1
30;Video_1;video_1_30;well .;train;2
31;Video_1;video_1_31;well never mind .;test;1
32;Video_1;video_1_32;inside i was making a paper ball do you want to come and help me .;train;1
33;Video_1;video_1_33;yeah i will help but how do you make the paper ball stick together .;train;2
34;Video_1;video_1_34;the glue that i was making was very sticky .;dev;1
35;Video_1;video_1_35;so i dip the paper in the glue and used that to make the ball .;train;1
36;Video_1;video_1_36;i will help yeah .;train;2
37;Video_1;video_1_37;well come on then .;train;1
38;Video_1;video_1_38;possum .;dev;1
39;Video_1;video_1_39;what is it .;train;2
40;Video_1;video_1_40;i have an idea .;train;1
41;Video_1;video_1_41;why do not we pretend that our feet are really sticky and that the grass is all sticky all the way back to the kitchen .;train;1
42;Video_1;video_1_42;yeah come on copy us kids .;train;2
43;Video_1;video_1_43;well sally i am ready to make the glue how do we make it .;train;2
44;Video_1;video_1_44;well to make our sticky sticky glue we need four things .;train;1
45;Video_1;video_1_45;we need four things .;train;1
46;Video_1;video_1_46;we need flour .;train;1
47;Video_1;video_1_47;yep .;test;2
48;Video_1;video_1_48;we need water .;train;1
49;Video_1;video_1_49;there it is .;train;2
50;Video_1;video_1_50;we need a bowl .;train;1
51;Video_1;video_1_51;we need a spoon .;train;1
52;Video_1;video_1_52;no that is too small .;train;1
53;Video_1;video_1_53;we need a bigger spoon .;train;1
54;Video_1;video_1_54;yes that is right .;train;1
55;Video_1;video_1_55;we have our four things that means we can start making our glue .;train;1
56;Video_1;video_1_56;we need one cup of flour in the bowl .;train;1
57;Video_1;video_1_57;now we need a cup of water .;train;1
58;Video_1;video_1_59;look possum you can see there the flour is sitting on the bottom and the water is on the top .;train;1
59;Video_1;video_1_61;we need to use our spoon to mix it all together and make it nice and sticky .;train;1
60;Video_1;video_1_63;can you do that please while you are doing that i am going to tear up some strips of paper .;train;1
61;Video_1;video_1_64;possum are you stuck .;train;1
62;Video_1;video_1_66;you are playing tricks on me .;train;1
63;Video_1;video_1_67;that glue looks ready possum .;train;1
64;Video_1;video_1_68;now we need to blow up a balloon .;train;1
65;Video_1;video_1_69;ok that is enough .;train;1
66;Video_1;video_1_70;now place it in the bowl .;train;1
67;Video_1;video_1_71;what we do is we get our paper .;train;1
68;Video_1;video_1_72;we dip it in the glue and then we stick it on the balloon .;train;1
69;Video_1;video_1_73;that is looking good .;train;1
70;Video_1;video_1_74;why do not we watch some children making papiermâché balloons .;train;1
71;Video_1;video_1_75;yeah let us watch .;train;2
72;Video_1;video_1_76;those children make great papiermâché balloons .;train;2
73;Video_1;video_1_77;yes they were beautiful were not they possum .;train;1
74;Video_1;video_1_78;yours is beautiful too though .;train;1
75;Video_1;video_1_79;we should paint ours as well but it is still wet .;train;1
76;Video_1;video_1_80;but it is still wet .;train;1
77;Video_1;video_1_81;why do not we go outside and hang it up so it can dry .;train;1
78;Video_1;video_1_82;yeah good idea come on let us go .;dev;2
79;Video_1;video_1_83;hello .;train;1
80;Video_1;video_1_85;possum your ball looks great .;train;1
81;Video_1;video_1_86;it is not sticky anymore it is nice and dry and when it is painted it will look beautiful .;train;1
82;Video_1;video_1_87;hey sally have a look at my door .;train;2
83;Video_1;video_1_88;it is not sticky anymore i have cleaned it .;train;2
84;Video_1;video_1_89;yes i saw you mopping and now all the honey is gone .;train;1
85;Video_1;video_1_90;sally i do love eating honey and playing with sticky sticky things .;train;2
86;Video_1;video_1_91;yes i know you do possum and i have something else that is sticky for you just wait .;train;1
87;Video_1;video_1_92;sally what does it say .;train;2
88;Video_1;video_1_93;it says do not get honey on the door .;train;1
89;Video_1;video_1_95;sally you are funny .;train;2
90;Video_1;video_1_96;well our time is up .;train;1
91;Video_1;video_1_97;thanks for watching .;train;2
92;Video_1;video_1_98;see you next time .;train;1
93;Video_1;video_1_99;bye bye .;train;1
94;Video_2;video_2_0;hello .;train;1
95;Video_2;video_2_1;look .;train;1
96;Video_2;video_2_2;look .;train;1
97;Video_2;video_2_3;i am sally .;train;1
98;Video_2;video_2_4;i am possum .;test;2
99;Video_2;video_2_5;hello .;train;1
100;Video_2;video_2_6;hello everyone .;train;1
101;Video_2;video_2_7;it is such a hot day today .;train;1
102;Video_2;video_2_8;i am feeling very hot .;test;1
103;Video_2;video_2_9;the sun it is shining down on me .;train;1
104;Video_2;video_2_10;it is making me sweat .;train;1
105;Video_2;video_2_11;you can see i have got my summer clothes on .;train;1
106;Video_2;video_2_12;they are helping me feel light and cool .;train;1
107;Video_2;video_2_13;i have got my wide brimmed hat to keep the sun off my face .;train;1
108;Video_2;video_2_14;it is such a lovely day .;train;1
109;Video_2;video_2_15;there are so many things we can go and do .;train;1
110;Video_2;video_2_16;i am going to go and wake up possum so he can come and do fun things with me .;train;1
111;Video_2;video_2_17;even his tree house is hot but where is possum .;train;1
112;Video_2;video_2_18;possum what are you doing there .;test;1
113;Video_2;video_2_19;hello sally i have got my shade .;train;2
114;Video_2;video_2_20;my nice icecold water and my fan .;train;2
115;Video_2;video_2_21;i am going to stay here all day .;train;2
116;Video_2;video_2_22;you are going to stay there all day possum .;train;1
117;Video_2;video_2_23;no you can not do that .;test;1
118;Video_2;video_2_24;there is so many things to do .;train;1
119;Video_2;video_2_25;can i sleep all day sally .;train;2
120;Video_2;video_2_26;i know you love to sleep possum .;train;1
121;Video_2;video_2_27;but you can not do that today .;test;1
122;Video_2;video_2_28;we are going to go do plenty of fun things today .;train;1
123;Video_2;video_2_29;like what .;train;2
124;Video_2;video_2_30;well why do not we watch some children and see what they do to keep cool on a hot day .;train;1
125;Video_2;video_2_31;yeah let us watch .;train;2
126;Video_2;video_2_32;i love swimming when it is hot and going on the water slide .;train;3
127;Video_2;video_2_33;i love swimming underwater .;train;4
128;Video_2;video_2_34;i love swimming it is great .;train;5
129;Video_2;video_2_36;does not the beach look amazing .;train;1
130;Video_2;video_2_37;we must go .;train;1
131;Video_2;video_2_38;sally what is the beach .;train;2
132;Video_2;video_2_39;the beach is where the sea meets the land and the waves crash upon the shore .;train;1
133;Video_2;video_2_40;there is plenty of sand and a lovely breeze .;train;1
134;Video_2;video_2_41;people enjoy going to the beach .;train;1
135;Video_2;video_2_42;people even fish at the beach and they like to eat what they catch .;train;1
136;Video_2;video_2_43;possums do not eat fish .;train;2
137;Video_2;video_2_44;well that is okay possum .;train;1
138;Video_2;video_2_45;we can still go to the beach and just enjoy looking around .;train;1
139;Video_2;video_2_46;we do not need to eat any fish .;train;1
140;Video_2;video_2_47;great well what do i need to bring .;train;2
141;Video_2;video_2_48;i have a list of what we need to take .;train;1
142;Video_2;video_2_49;well what does it say .;train;2
143;Video_2;video_2_50;well first of all we need a bucket and a spade .;train;1
144;Video_2;video_2_51;wait wait hang on .;train;1
145;Video_2;video_2_52;good good .;train;1
146;Video_2;video_2_53;right now we need a towel .;train;1
147;Video_2;video_2_54;wait wait i am not finished .;train;1
148;Video_2;video_2_55;all right we need a beach ball .;train;1
149;Video_2;video_2_56;possum hold on we need an umbrella too .;train;1
150;Video_2;video_2_57;all right possum we need our beach umbrella .;train;1
151;Video_2;video_2_58;possum you have got a lot of things there .;train;1
152;Video_2;video_2_59;there is one more thing we need though .;train;1
153;Video_2;video_2_60;we need some swimming togs .;train;1
154;Video_2;video_2_61;possum what is the matter .;train;1
155;Video_2;video_2_62;well sally possums do not like swimming at the beach .;train;2
156;Video_2;video_2_63;what are we going to do .;train;2
157;Video_2;video_2_64;what do possums like to do .;train;1
158;Video_2;video_2_65;we like to sleep .;train;2
159;Video_2;video_2_66;we like to clean ourselves .;train;2
160;Video_2;video_2_67;we love to eat .;train;2
161;Video_2;video_2_68;possum i have an idea .;train;1
162;Video_2;video_2_69;it is a very hot day i know something special we can make to eat that will make you feel cool inside .;train;1
163;Video_2;video_2_70;would you like to do that .;train;1
164;Video_2;video_2_71;yes but what is it .;train;2
165;Video_2;video_2_72;what do you think it could be .;train;1
166;Video_2;video_2_73;something to eat to make you feel cool inside .;train;1
