gloss,precision,recall,f1-score,support
GO,0.5,0.5714285714285714,0.5333333333333333,7.0
GOOD,0.375,0.3,0.3333333333333333,10.0
HELLO,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
KNOW,0.625,0.5,0.5555555555555556,10.0
ONE,0.21052631578947367,0.36363636363636365,0.26666666666666666,11.0
READY,0.5625,0.6,0.5806451612903226,15.0
THINK,0.75,0.6923076923076923,0.72,13.0
TIME,0.5,0.8,0.6153846153846154,10.0
WHAT,0.375,0.5,0.42857142857142855,6.0
YES,0.3333333333333333,0.46153846153846156,0.3870967741935484,13.0
micro avg,0.46218487394957986,0.5445544554455446,0.5,101.0
macro avg,0.4898026315789473,0.5455577755577756,0.5087253534995471,101.0
weighted avg,0.4909566614556193,0.5445544554455446,0.5087402550960519,101.0
samples avg,0.504950495049505,0.5445544554455446,0.5181518151815181,101.0
