gloss,precision,recall,f1-score,support
ABLE,0.0,0.0,0.0,0.0
ABOUT,0.0,0.0,0.0,0.0
ACTION,0.0,0.0,0.0,0.0
ACTUALLY,0.0,0.0,0.0,0.0
AFTER,0.0,0.0,0.0,0.0
AGAIN,0.0,0.0,0.0,0.0
ALL,0.0,0.0,0.0,0.0
ALMOST,0.0,0.0,0.0,0.0
ALRIGHT,0.0,0.0,0.0,0.0
ALSO,0.0,0.0,0.0,0.0
ALWAYS,0.0,0.0,0.0,0.0
AMAZING,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
ANGLE,0.0,0.0,0.0,0.0
ANIMAL,0.0,0.0,0.0,0.0
ANOTHER,0.0,0.0,0.0,0.0
AROUND,0.0,0.0,0.0,0.0
ASK,0.0,0.0,0.0,0.0
AWAY,0.0,0.0,0.0,0.0
AWESOME,0.0,0.0,0.0,0.0
BACK,0.0,0.0,0.0,0.0
BAG,0.0,0.0,0.0,0.0
BALL,0.0,0.0,0.0,0.0
BANANA,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0
BEACH,0.0,0.0,0.0,0.0
BEAUTIFUL,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BECOME,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BEST,0.0,0.0,0.0,0.0
BETTER,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BIKE,0.0,0.0,0.0,0.0
BLUE,0.0,0.0,0.0,0.0
BOAT,0.0,0.0,0.0,0.0
BOOK,0.0,0.0,0.0,0.0
BOTH,0.0,0.0,0.0,0.0
BOWL,0.0,0.0,0.0,0.0
BOX,0.0,0.0,0.0,0.0
BREAD,0.0,0.0,0.0,0.0
BREAK,0.0,0.0,0.0,0.0
BREAKFAST,0.0,0.0,0.0,0.0
BRING,0.0,0.0,0.0,0.0
BUBBLE,0.0,0.0,0.0,0.0
BUSY,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BUTTER,0.0,0.0,0.0,0.0
BUTTERFLY,0.0,0.0,0.0,0.0
BUY,0.0,0.0,0.0,0.0
BYE,0.0,0.0,0.0,0.0
CALL,0.0,0.0,0.0,0.0
CAMP,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,0.0
CAN-NOT,0.0,0.0,0.0,0.0
CARD,0.0,0.0,0.0,0.0
CARDBOARD,0.0,0.0,0.0,0.0
CAREFUL,0.0,0.0,0.0,0.0
CARROT,0.0,0.0,0.0,0.0
CHECK,0.0,0.0,0.0,0.0
CHEESE,0.0,0.0,0.0,0.0
CHILD,0.0,0.0,0.0,0.0
CHILDREN,0.0,0.0,0.0,0.0
CHOOSE,0.0,0.0,0.0,0.0
CLEAN,0.0,0.0,0.0,0.0
CLIMB,0.0,0.0,0.0,0.0
CLOCK,0.0,0.0,0.0,0.0
CLOSE,0.0,0.0,0.0,0.0
CLOUD,0.0,0.0,0.0,0.0
CLUE,0.0,0.0,0.0,0.0
CODE,0.0,0.0,0.0,0.0
COG,0.0,0.0,0.0,0.0
COLD,0.0,0.0,0.0,0.0
COLLAGE,0.0,0.0,0.0,0.0
COLOR,0.0,0.0,0.0,0.0
COLOUR,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
COME-BACK,0.0,0.0,0.0,0.0
COME-IN,0.0,0.0,0.0,0.0
COME-ON,0.0,0.0,0.0,0.0
COME-OUT,0.0,0.0,0.0,0.0
COOK,0.0,0.0,0.0,0.0
CORAL,0.0,0.0,0.0,0.0
CORRECT,0.0,0.0,0.0,0.0
COULD,0.0,0.0,0.0,0.0
COUNT,0.0,0.0,0.0,0.0
COURSE,0.0,0.0,0.0,0.0
CRICKET,0.0,0.0,0.0,0.0
CROW-NEST,0.0,0.0,0.0,0.0
CUP,0.0,0.0,0.0,0.0
CUT,0.0,0.0,0.0,0.0
DAY,0.0,0.0,0.0,0.0
DELICIOUS,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DIG,0.0,0.0,0.0,0.0
DINNER,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DO-NOT,0.0,0.0,0.0,0.0
DOCTOR,0.0,0.0,0.0,0.0
DOOR,0.0,0.0,0.0,0.0
DOWN,0.0,0.0,0.0,0.0
DRAW,0.0,0.0,0.0,0.0
DRESSUP,0.0,0.0,0.0,0.0
DRINK,0.0,0.0,0.0,0.0
DRY,0.0,0.0,0.0,0.0
DS(FLAT),0.0,0.0,0.0,0.0
EASY,0.0,0.0,0.0,0.0
EAT,0.0,0.0,0.0,0.0
EGG,0.0,0.0,0.0,0.0
ELSE,0.0,0.0,0.0,0.0
ENERGY,0.0,0.0,0.0,0.0
ENJOY,0.0,0.0,0.0,0.0
ENOUGH,0.0,0.0,0.0,0.0
EVERYONE,0.0,0.0,0.0,0.0
EVERYTHING,0.0,0.0,0.0,0.0
EXCITED,0.0,0.0,0.0,0.0
EXIST,0.0,0.0,0.0,0.0
EXPLAIN,0.0,0.0,0.0,0.0
FACE,0.0,0.0,0.0,0.0
FANTASTIC,0.0,0.0,0.0,0.0
FAST,0.0,0.0,0.0,0.0
FEEL,0.0,0.0,0.0,0.0
FEW,0.0,0.0,0.0,0.0
FIND,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,0.0
FIRST,0.0,0.0,0.0,0.0
FISH,0.0,0.0,0.0,0.0
FIVE,0.0,0.0,0.0,0.0
FIX,0.0,0.0,0.0,0.0
FLOAT,0.0,0.0,0.0,0.0
FLOUR,0.0,0.0,0.0,0.0
FLOWER,0.0,0.0,0.0,0.0
FLY,0.0,0.0,0.0,0.0
FOLD,0.0,0.0,0.0,0.0
FOLLOW,0.0,0.0,0.0,0.0
FOOD,0.0,0.0,0.0,0.0
FOR,0.0,0.0,0.0,0.0
FORGET,0.0,0.0,0.0,0.0
FOUR,0.0,0.0,0.0,0.0
FRIDGE,0.0,0.0,0.0,0.0
FRIEND,0.0,0.0,0.0,0.0
FROM,0.0,0.0,0.0,0.0
FRUIT,0.0,0.0,0.0,0.0
FUN,0.0,0.0,0.0,0.0
FUTURE,0.0,0.0,0.0,0.0
GARDEN,0.0,0.0,0.0,0.0
GATE,0.0,0.0,0.0,0.0
GET,0.0,0.0,0.0,0.0
GIVE,0.0,0.0,0.0,0.0
GO,0.14124293785310735,0.6944444444444444,0.2347417840375587,36.0
GOOD,0.16095890410958905,0.8703703703703703,0.27167630057803466,54.0
GOOD-IDEA,0.0,0.0,0.0,0.0
GREAT,0.0,0.0,0.0,0.0
GREEN,0.0,0.0,0.0,0.0
GROUND,0.0,0.0,0.0,0.0
GROW,0.0,0.0,0.0,0.0
HAIR,0.0,0.0,0.0,0.0
HALF,0.0,0.0,0.0,0.0
HAND,0.0,0.0,0.0,0.0
HAPPEN,0.0,0.0,0.0,0.0
HAPPY,0.0,0.0,0.0,0.0
HARD,0.0,0.0,0.0,0.0
HAT,0.0,0.0,0.0,0.0
HAVE,0.0,0.0,0.0,0.0
HAVE-NOT,0.0,0.0,0.0,0.0
HEAD,0.0,0.0,0.0,0.0
HEAVY,0.0,0.0,0.0,0.0
HELLO,0.37142857142857144,0.8666666666666667,0.52,30.0
HELP,0.0,0.0,0.0,0.0
HERE,0.0,0.0,0.0,0.0
HEY,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0
HOME,0.0,0.0,0.0,0.0
HONEY,0.0,0.0,0.0,0.0
HOT,0.0,0.0,0.0,0.0
HOUR,0.0,0.0,0.0,0.0
HOUSE,0.0,0.0,0.0,0.0
HOW,0.0,0.0,0.0,0.0
HUNGRY,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0
ICE,0.0,0.0,0.0,0.0
ICE-CREAM,0.0,0.0,0.0,0.0
IDEA,0.0,0.0,0.0,0.0
IF,0.0,0.0,0.0,0.0
IMPORTANT,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0
INSIDE,0.0,0.0,0.0,0.0
INSTRUCTION,0.0,0.0,0.0,0.0
INTO,0.0,0.0,0.0,0.0
JOB,0.0,0.0,0.0,0.0
JUST,0.0,0.0,0.0,0.0
KEEP,0.0,0.0,0.0,0.0
KIND,0.0,0.0,0.0,0.0
KITCHEN,0.0,0.0,0.0,0.0
KNOW,0.1056338028169014,0.2830188679245283,0.15384615384615385,53.0
KNOW-NOT,0.0,0.0,0.0,0.0
LATER,0.0,0.0,0.0,0.0
LEAF,0.0,0.0,0.0,0.0
