gloss,precision,recall,f1-score,support
GO,0.3333333333333333,0.14285714285714285,0.2,7.0
GOOD,0.3,0.3,0.3,10.0
HELLO,1.0,0.6666666666666666,0.8,6.0
KNOW,0.4166666666666667,0.5,0.45454545454545453,10.0
NON_DETECTION,0.0,0.0,0.0,0.0
ONE,0.36363636363636365,0.36363636363636365,0.36363636363636365,11.0
READY,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
THINK,0.5294117647058824,0.6923076923076923,0.6,13.0
TIME,0.6666666666666666,0.8,0.7272727272727273,10.0
WHAT,0.42857142857142855,0.5,0.46153846153846156,6.0
YES,0.5,0.5384615384615384,0.5185185185185185,13.0
micro avg,0.4396551724137931,0.504950495049505,0.4700460829493088,101.0
macro avg,0.4704227145403616,0.4518723700541882,0.45127027854300583,101.0
weighted avg,0.5115435913339232,0.504950495049505,0.4990601624264991,101.0
samples avg,0.4603960396039604,0.504950495049505,0.47524752475247517,101.0
