gloss,precision,recall,f1-score,support
GO,0.36363636363636365,0.2857142857142857,0.32,14.0
GOOD,0.42105263157894735,0.4,0.41025641025641024,20.0
HELLO,1.0,0.6666666666666666,0.8,12.0
KNOW,0.3,0.3,0.3,20.0
NON_DETECTION,0.36666666666666664,0.6666666666666666,0.4731182795698925,33.0
ONE,0.3,0.2727272727272727,0.2857142857142857,22.0
READY,0.4,0.4666666666666667,0.4307692307692308,30.0
THINK,0.45,0.6923076923076923,0.5454545454545454,26.0
TIME,0.64,0.8,0.7111111111111111,20.0
WHAT,0.6153846153846154,0.6666666666666666,0.64,12.0
YES,0.2702702702702703,0.38461538461538464,0.31746031746031744,26.0
micro avg,0.4166666666666667,0.5106382978723404,0.4588910133843212,235.0
macro avg,0.4660918679578966,0.5092755729119366,0.4758076527577994,235.0
weighted avg,0.4303132090814062,0.5106382978723404,0.4572120480754661,235.0
samples avg,0.46595744680851064,0.5106382978723404,0.4808510638297872,235.0
