gloss,precision,recall,f1-score,support
GO,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0
GOOD,0.3,0.3,0.3,20.0
HELLO,1.0,0.6666666666666666,0.8,12.0
KNOW,0.4,0.4,0.4,20.0
NON_DETECTION,0.3333333333333333,0.696969696969697,0.45098039215686275,33.0
ONE,0.17647058823529413,0.2727272727272727,0.21428571428571427,22.0
READY,0.5,0.4666666666666667,0.4827586206896552,30.0
THINK,0.46153846153846156,0.6923076923076923,0.5538461538461539,26.0
TIME,0.5714285714285714,0.8,0.6666666666666666,20.0
WHAT,0.36363636363636365,0.6666666666666666,0.47058823529411764,12.0
YES,0.3333333333333333,0.46153846153846156,0.3870967741935484,26.0
micro avg,0.3894080996884735,0.5319148936170213,0.44964028776978415,235.0
macro avg,0.43569834799781315,0.5320104138285957,0.4648472119387516,235.0
weighted avg,0.41396767604527307,0.5319148936170213,0.45337727830109154,235.0
samples avg,0.45035460992907805,0.5319148936170213,0.4765957446808511,235.0
