gloss,precision,recall,f1-score,support
GO,0.3,0.42857142857142855,0.35294117647058826,14.0
GOOD,0.32,0.4,0.35555555555555557,20.0
HELLO,1.0,0.6666666666666666,0.8,12.0
KNOW,0.4444444444444444,0.4,0.42105263157894735,20.0
NON_DETECTION,0.37037037037037035,0.6060606060606061,0.45977011494252873,33.0
ONE,0.2222222222222222,0.2727272727272727,0.24489795918367346,22.0
READY,0.5185185185185185,0.4666666666666667,0.49122807017543857,30.0
THINK,0.6666666666666666,0.6153846153846154,0.64,26.0
TIME,0.782608695652174,0.9,0.8372093023255814,20.0
WHAT,0.4,0.5,0.4444444444444444,12.0
YES,0.3333333333333333,0.46153846153846156,0.3870967741935484,26.0
micro avg,0.4404332129963899,0.5191489361702127,0.4765625,235.0
macro avg,0.4871058410188845,0.5197832470559743,0.4940178208063914,235.0
weighted avg,0.47067118922808104,0.5191489361702127,0.48575483711728906,235.0
samples avg,0.4624113475177305,0.5191489361702127,0.4808510638297872,235.0
