gloss,precision,recall,f1,support,predicted
INSTRUCTION,1.0,1.0,1.0,1,1
TIME,0.3023255813953488,0.5416666666666666,0.3880597014925373,24,43
PT_PRO1,0.25263157894736843,0.7692307692307693,0.3803486529318542,156,475
DRAW,0.2,1.0,0.3333333333333333,1,5
PT_DEM3,0.18262150220913106,0.9323308270676691,0.3054187192118227,133,679
PT_PRO2,0.18470149253731344,0.8608695652173913,0.30414746543778803,115,536
MORNING,0.5,0.2,0.2857142857142857,5,2
SUN,0.16666666666666666,0.5,0.25,2,6
SHAPE,0.16666666666666666,0.5,0.25,2,6
NS_SALLY,0.1451990632318501,0.775,0.2445759368836292,80,427
NS_POSSUM,0.12476007677543186,0.7831325301204819,0.2152317880794702,83,521
EVERYONE,0.12121212121212122,0.8,0.21052631578947367,5,33
HELLO,0.12380952380952381,0.6842105263157895,0.20967741935483872,19,105
FINISH,0.12087912087912088,0.6666666666666666,0.20465116279069767,33,182
WHEN,0.125,0.5,0.2,2,8
WHAT,0.10313075506445672,0.9333333333333333,0.1857379767827529,60,543
LOOK,0.09671532846715329,0.8548387096774194,0.1737704918032787,62,548
YES,0.09566787003610108,0.7794117647058824,0.17041800643086816,68,554
TWO,0.1,0.3076923076923077,0.1509433962264151,13,40
DAY,0.1,0.25,0.14285714285714285,8,20
DO,0.0855614973262032,0.41025641025641024,0.1415929203539823,39,187
IDEA,0.08108108108108109,0.42857142857142855,0.13636363636363635,14,74
CLIMB,0.07142857142857142,1.0,0.13333333333333333,1,14
SMALL,0.07692307692307693,0.5,0.13333333333333333,2,13
GREAT,0.07156673114119923,0.7708333333333334,0.13097345132743363,48,517
PLEASE,0.0707070707070707,0.5833333333333334,0.12612612612612611,12,99
FRIEND,0.07142857142857142,0.5,0.125,2,14
DIFFERENT,0.07407407407407407,0.4,0.125,5,27
WELL,0.08571428571428572,0.21428571428571427,0.12244897959183673,14,35
GOOD,0.06516290726817042,0.6842105263157895,0.11899313501144165,38,399
THREE,0.08695652173913043,0.18181818181818182,0.11764705882352941,11,23
TREE,0.06741573033707865,0.42857142857142855,0.11650485436893204,14,89
GO,0.06267806267806268,0.6875,0.11488250652741515,32,351
HERE,0.06569343065693431,0.45,0.11464968152866242,20,137
WATCH,0.06504065040650407,0.4444444444444444,0.11347517730496454,18,123
KNOW,0.06153846153846154,0.7272727272727273,0.11347517730496454,22,260
ONE,0.06521739130434782,0.2857142857142857,0.10619469026548672,21,92
USE,0.058823529411764705,0.5,0.10526315789473684,4,34
BYE,0.056338028169014086,0.4444444444444444,0.1,9,71
HAVE,0.05314009661835749,0.7857142857142857,0.09954751131221719,28,414
FUN,0.08,0.125,0.0975609756097561,16,25
PT_PRO1PL,0.05251141552511415,0.6571428571428571,0.09725158562367865,35,438
THANK,0.058823529411764705,0.25,0.09523809523809523,4,17
NEED,0.050505050505050504,0.6666666666666666,0.09389671361502347,15,198
THINK,0.048484848484848485,0.4444444444444444,0.08743169398907104,18,165
PT_LOC,0.04712041884816754,0.5625,0.08695652173913043,16,191
REMEMBER,0.07142857142857142,0.1111111111111111,0.08695652173913043,9,14
RIGHT,0.04597701149425287,0.6666666666666666,0.08602150537634409,24,348
NOW,0.04509283819628647,0.6538461538461539,0.08436724565756824,26,377
CAN,0.044386422976501305,0.8095238095238095,0.08415841584158416,21,383
MANY,0.045871559633027525,0.45454545454545453,0.08333333333333333,11,109
LOVELY,0.05172413793103448,0.21428571428571427,0.08333333333333333,14,58
GET,0.040268456375838924,0.42857142857142855,0.0736196319018405,14,149
FOUR,0.05263157894736842,0.1111111111111111,0.07142857142857142,9,19
LIKE,0.04032258064516129,0.2777777777777778,0.07042253521126761,18,124
PUT,0.0380952380952381,0.4444444444444444,0.07017543859649122,9,105
EAT,0.038461538461538464,0.3333333333333333,0.06896551724137931,3,26
NOT,0.035897435897435895,0.3684210526315789,0.06542056074766354,19,195
PT_PRO3,0.03350515463917526,0.8666666666666667,0.06451612903225806,15,388
BIG,0.03636363636363636,0.2857142857142857,0.06451612903225806,7,55
THING,0.03773584905660377,0.2,0.06349206349206349,10,53
PT_PRO3PL,0.03571428571428571,0.23529411764705882,0.06201550387596899,17,112
PT_POSS1,0.03184713375796178,0.6666666666666666,0.060790273556231005,15,314
NS_AMANDA,0.03225806451612903,0.25,0.05714285714285714,4,31
NEXT,0.03225806451612903,0.2,0.05555555555555555,5,31
HELP,0.03333333333333333,0.16666666666666666,0.05555555555555555,6,30
SOMETHING,0.037037037037037035,0.1,0.05405405405405406,10,27
WAIT,0.03333333333333333,0.14285714285714285,0.05405405405405406,7,30
THAT,0.04,0.07692307692307693,0.05263157894736842,13,25
VERY,0.03,0.21428571428571427,0.05263157894736842,28,200
ALL,0.028985507246376812,0.25,0.05194805194805195,8,69
COME,0.02702702702702703,0.375,0.05042016806722689,8,111
PT_POSS2,0.026455026455026454,0.5,0.05025125628140704,10,189
LEARN,0.02857142857142857,0.16666666666666666,0.04878048780487805,6,35
HI,0.02631578947368421,0.3333333333333333,0.04878048780487805,3,38
MAKE,0.024509803921568627,0.5555555555555556,0.046948356807511735,9,204
WANT,0.024539877300613498,0.3333333333333333,0.045714285714285714,12,163
THANK-YOU,0.02564102564102564,0.14285714285714285,0.043478260869565216,14,78
BEAUTIFUL,0.030303030303030304,0.07142857142857142,0.0425531914893617,14,33
NO,0.022099447513812154,0.2857142857142857,0.041025641025641026,14,181
INSIDE,0.020833333333333332,0.25,0.038461538461538464,4,48
HOW,0.023255813953488372,0.07692307692307693,0.03571428571428571,13,43
BUT,0.018404907975460124,0.3,0.03468208092485549,10,163
COME-ON,0.019230769230769232,0.16666666666666666,0.034482758620689655,6,52
SEE,0.016891891891891893,0.35714285714285715,0.03225806451612903,14,296
READY,0.019230769230769232,0.09090909090909091,0.031746031746031744,11,52
LOVE,0.015873015873015872,0.16666666666666666,0.028985507246376812,6,63
WHY,0.01282051282051282,0.3333333333333333,0.024691358024691357,3,78
OKAY,0.007692307692307693,0.1,0.014285714285714285,10,130
REALLY,0.0,0.0,0.0,5,4
PANCAKE,0.0,0.0,0.0,0,2
PAPER,0.0,0.0,0.0,0,12
PAINT,0.0,0.0,0.0,1,4
OVER,0.0,0.0,0.0,1,2
RED,0.0,0.0,0.0,0,0
RIDE,0.0,0.0,0.0,0,0
RAIN,0.0,0.0,0.0,3,9
OUTSIDE,0.0,0.0,0.0,2,19
PLAY,0.0,0.0,0.0,1,36
PATTERN,0.0,0.0,0.0,0,0
QUICK,0.0,0.0,0.0,2,4
QUESTION,0.0,0.0,0.0,3,2
PLANE,0.0,0.0,0.0,0,1
PLENTY,0.0,0.0,0.0,2,0
POLICE,0.0,0.0,0.0,0,0
PRETEND,0.0,0.0,0.0,0,1
PLACE,0.0,0.0,0.0,3,0
PIECE,0.0,0.0,0.0,0,3
PT_DET,0.0,0.0,0.0,1,0
PIE,0.0,0.0,0.0,1,1
PICTURE,0.0,0.0,0.0,0,0
PERSON,0.0,0.0,0.0,0,0
PT_POSS1PL,0.0,0.0,0.0,0,1
PEOPLE,0.0,0.0,0.0,1,1
PT_POSS3,0.0,0.0,0.0,0,3
PLANT,0.0,0.0,0.0,1,3
PART,0.0,0.0,0.0,1,0
PULL,0.0,0.0,0.0,1,1
PUSH,0.0,0.0,0.0,2,2
ABLE,0.0,0.0,0.0,1,0
SO,0.0,0.0,0.0,3,2
ROAD,0.0,0.0,0.0,0,0
UNDER,0.0,0.0,0.0,1,2
WATER,0.0,0.0,0.0,4,38
WANT-NOT,0.0,0.0,0.0,3,0
WALK,0.0,0.0,0.0,0,1
VEGETABLE,0.0,0.0,0.0,1,0
UP,0.0,0.0,0.0,0,16
UNDERSTAND,0.0,0.0,0.0,3,0
TURN,0.0,0.0,0.0,3,0
